PC,RES_CNT_High,NRP_CNT_High,UNC_CNT_High,TOT_CNT_High,RES_CNT_Medium,NRP_CNT_Medium,UNC_CNT_Medium,TOT_CNT_Medium,RES_CNT_Low,NRP_CNT_Low,UNC_CNT_Low,TOT_CNT_Low,RES_CNT_VeryLow,NRP_CNT_VeryLow,UNC_CNT_VeryLow,TOT_CNT_VeryLow,SORTOFF,DISTRICT,SECTOR,UNIT
HU9 3AY,0,0,0,0,0,0,0,0,1,1,0,2,11,0,0,11,HU,9,3,AY
HU9 1RZ,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,HU,9,1,RZ
HU16 4RR,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,HU,16,4,RR
TA8 1ES,0,0,0,0,0,0,0,0,21,1,1,23,0,0,0,0,TA,8,1,ES
CO8 5BB,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,CO,8,5,BB
SE1 0BS,0,0,0,0,0,0,0,0,1,21,0,22,0,0,0,0,SE,1,0,BS
PE13 4LQ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,PE,13,4,LQ
HU5 1PF,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,HU,5,1,PF
DE72 3LX,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,DE,72,3,LX
TR6 0AP,0,0,0,0,8,1,1,10,5,1,0,6,0,0,0,0,TR,6,0,AP
TN9 1EP,0,2,0,2,0,51,0,51,0,0,0,0,0,0,0,0,TN,9,1,EP
NG6 8SW,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,NG,6,8,SW
MK19 6BZ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,MK,19,6,BZ
GL52 3DR,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,GL,52,3,DR
L3 4EP,46,0,0,46,18,0,0,18,0,0,0,0,0,0,0,0,L,3,4,EP
KT10 9DD,0,0,0,0,3,0,0,3,5,0,0,5,0,0,0,0,KT,10,9,DD
E16 1JD,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,E,16,1,JD
HU3 6UA,0,0,0,0,0,0,0,0,0,0,0,0,15,8,1,24,HU,3,6,UA
BH23 2EH,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,BH,23,2,EH
WN7 4QL,0,0,0,0,0,0,0,0,28,1,0,29,0,0,0,0,WN,7,4,QL
EX4 1FB,0,0,0,0,0,0,0,0,9,1,0,10,0,0,0,0,EX,4,1,FB
BR6 7AR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BR,6,7,AR
BN27 1SD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,BN,27,1,SD
HU7 3HQ,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,HU,7,3,HQ
YO31 8FE,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,YO,31,8,FE
SO40 7GT,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,SO,40,7,GT
BS21 6PH,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,BS,21,6,PH
GL19 4AH,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,GL,19,4,AH
EX10 0DL,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,EX,10,0,DL
PR9 8JD,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,PR,9,8,JD
BS21 7XJ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,BS,21,7,XJ
SS8 0DY,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,19,SS,8,0,DY
PE11 3EQ,0,0,0,0,39,1,0,40,0,0,0,0,0,0,0,0,PE,11,3,EQ
DT11 7AX,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,DT,11,7,AX
NR12 0TT,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,NR,12,0,TT
DN32 9QL,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2,46,DN,32,9,QL
DT2 8PZ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,DT,2,8,PZ
PE7 1NT,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,PE,7,1,NT
NG13 9HD,0,0,2,2,0,0,4,4,1,1,3,5,0,0,0,0,NG,13,9,HD
BN18 0UZ,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,BN,18,0,UZ
LN12 1FN,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,LN,12,1,FN
WF11 9BL,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,WF,11,9,BL
LS24 9RW,10,0,11,21,1,0,2,3,0,0,0,0,0,0,0,0,LS,24,9,RW
